timestamp,zone_name,energy_type,generated_kwh,delivered_kwh,curtailed_kwh,revenue_eur,leakage_eur,sensor_status
2024-07-26,Fingal,Wind,2577.16,2167.363343709836392788,409.796656290163607212,184.22588421533611506061343709836392788,34.83271578466391071098656290163607212,Active (weight: 90)
2025-03-15,Dublin City,Solar,1669.88,1597.626404301588709208,72.253595698411290792,135.79824436563505625894404301588709208,6.14155563436496043985595698411290792,Active (weight: 90)
2024-08-06,South Dublin,Wind,899.64,708.89062212308562138,190.74937787691437862,60.2557028804622849062062212308562138,16.2136971195377240901937787691437862,Noisy (weight: 5)
2025-02-27,Fingal,Solar,823.55,763.254644654198586435,60.295355345801413565,64.87664479560688747952144654198586435,5.12510520439312075597855345801413565,Noisy (weight: 5)
2025-03-28,Fingal,Wind,1635.91,1350.883369474003713738,285.026630525996286262,114.82508640529032917656369474003713738,24.22726359470968718253630525996286262,Active (weight: 90)
2025-01-29,Dublin City,Solar,3509.52,3331.580330578793785128,177.939669421206214872,283.18432809919750505168330578793785128,15.12487190080253004351669421206214872,Failed (weight: 5)
2025-03-23,Dublin City,Wind,1997.47,1579.040837177677273639,418.429162822322726361,134.21847116010258404972337177677273639,35.56647883989743592497662822322726361,Active (weight: 90)
2025-06-23,Dun Laoghaire-Rathdown,Wind,2787.15,2221.19764737770072586,565.95235262229927414,188.8018000271045839100764737770072586,48.1059499728954439614235262229927414,Active (weight: 90)
2025-02-12,South Dublin,Wind,2558.62,2361.856775821294129942,196.763224178705870058,200.75782594481002466363775821294129942,16.72487405519000092256224178705870058,Noisy (weight: 5)
2025-05-05,Fingal,Wind,2335.42,2034.206914849141264814,301.213085150858735186,172.90758776217702785125914849141264814,25.60311223782299550294085150858735186,Noisy (weight: 5)
2025-02-18,Fingal,Wind,3607.91,3170.151576031576683573,437.758423968423316427,269.46288396268404980522076031576683573,37.20946603731598627387923968423316427,Active (weight: 90)
2024-09-14,South Dublin,Wind,1204.34,967.35339296851806723,236.98660703148193277,82.2250384023240453880839296851806723,20.1438615976759666553160703148193277,Failed (weight: 5)
2024-07-15,Fingal,Wind,4053.93,3121.709504702433421509,932.220495297566578491,265.34530789970687204536004702433421509,79.23874210029316849393995297566578491,Active (weight: 90)
2024-07-25,South Dublin,Solar,3514.03,2547.619415060413863572,966.410584939586136428,216.54765028013520387981415060413863572,82.14489971986483126048584939586136428,Noisy (weight: 5)
2024-11-12,South Dublin,Wind,2928.66,2384.370282259219017246,544.289717740780982754,202.67147399203364030961282259219017246,46.26462600796638897698717740780982754,Active (weight: 90)
